3,4,7,8,15,16,18,20,21,23,24,25,26,27,28,29,31,39
54.153,501.7,273.12,536.07,325.72,338.05,145.22,657.78,284.56,272.38,305.87,240.91,141.94,286.7,199.34,296.66,10.943,1129.3
54.146,501.63,273.09,536.0,325.68,338.0,145.2,657.7,284.53,272.35,305.83,240.88,141.92,286.66,199.32,296.63,10.942,1129.2
54.148,501.65,273.1,536.02,325.69,338.02,145.2,657.72,284.54,272.36,305.84,240.89,141.93,286.68,199.32,296.64,10.942,1129.2
54.142,501.6,273.07,535.97,325.65,337.98,145.19,657.65,284.51,272.33,305.81,240.86,141.91,286.64,199.3,296.61,10.941,1129.1
54.138,501.56,273.05,535.93,325.63,337.96,145.18,657.6,284.49,272.31,305.79,240.85,141.9,286.62,199.29,296.58,10.94,1129.0
54.137,501.55,273.04,535.91,325.62,337.95,145.17,657.59,284.48,272.3,305.78,240.84,141.9,286.62,199.28,296.58,10.94,1129.0
54.132,501.51,273.02,535.87,325.6,337.92,145.16,657.53,284.45,272.28,305.75,240.82,141.89,286.59,199.27,296.55,10.939,1128.9
54.128,501.47,272.99,535.83,325.57,337.89,145.15,657.48,284.43,272.26,305.73,240.8,141.87,286.57,199.25,296.53,10.938,1128.8
54.152,501.69,273.12,536.06,325.71,338.04,145.21,657.77,284.56,272.38,305.86,240.91,141.94,286.7,199.34,296.66,10.943,1129.3
54.156,501.73,273.14,536.11,325.74,338.07,145.23,657.82,284.58,272.4,305.89,240.93,141.95,286.72,199.35,296.68,10.944,1129.4
54.15,501.67,273.1,536.04,325.7,338.03,145.21,657.74,284.55,272.36,305.85,240.9,141.93,286.68,199.33,296.65,10.942,1129.2
54.162,501.79,273.17,536.17,325.78,338.11,145.24,657.9,284.61,272.43,305.92,240.95,141.97,286.75,199.38,296.72,10.945,1129.5
54.174,501.9,273.23,536.29,325.85,338.18,145.27,658.04,284.68,272.49,305.99,241.01,142.0,286.82,199.42,296.78,10.947,1129.7
54.174,501.89,273.23,536.28,325.85,338.18,145.27,658.03,284.67,272.49,305.99,241.0,142.0,286.81,199.42,296.78,10.947,1129.7
54.169,501.84,273.2,536.23,325.81,338.15,145.26,657.97,284.65,272.46,305.96,240.98,141.98,286.78,199.4,296.75,10.946,1129.6
54.159,501.76,273.15,536.14,325.76,338.09,145.23,657.86,284.6,272.41,305.91,240.94,141.96,286.74,199.36,296.7,10.944,1129.4
54.165,501.81,273.18,536.19,325.79,338.12,145.25,657.93,284.63,272.44,305.94,240.97,141.97,286.77,199.39,296.73,10.946,1129.6
54.168,501.84,273.2,536.22,325.81,338.14,145.26,657.96,284.64,272.46,305.95,240.98,141.98,286.78,199.4,296.75,10.946,1129.6
54.162,501.78,273.17,536.16,325.77,338.1,145.24,657.89,284.61,272.43,305.92,240.95,141.96,286.75,199.37,296.71,10.945,1129.5
54.161,501.77,273.16,536.15,325.77,338.1,145.24,657.88,284.6,272.42,305.91,240.95,141.96,286.74,199.37,296.71,10.945,1129.5
54.16,501.77,273.16,536.15,325.76,338.1,145.24,657.87,284.6,272.42,305.91,240.95,141.96,286.74,199.37,296.71,10.945,1129.5
54.177,501.92,273.24,536.32,325.87,338.2,145.28,658.08,284.69,272.5,306.01,241.02,142.0,286.83,199.43,296.8,10.948,1129.8
54.216,502.29,273.44,536.7,326.1,338.44,145.39,658.55,284.9,272.7,306.23,241.19,142.11,287.04,199.57,297.01,10.956,1130.6
54.235,502.46,273.54,536.89,326.21,338.56,145.44,658.78,285.0,272.79,306.33,241.28,142.16,287.14,199.64,297.12,10.96,1131.0
54.229,502.41,273.51,536.83,326.18,338.53,145.42,658.71,284.96,272.77,306.3,241.25,142.14,287.11,199.62,297.08,10.958,1130.9
54.212,502.25,273.42,536.66,326.08,338.42,145.38,658.51,284.88,272.68,306.21,241.18,142.1,287.02,199.56,296.99,10.955,1130.5
54.19,502.05,273.31,536.45,325.95,338.28,145.32,658.24,284.76,272.57,306.08,241.08,142.04,286.9,199.48,296.87,10.951,1130.1
54.175,501.9,273.23,536.29,325.85,338.19,145.27,658.05,284.68,272.49,305.99,241.01,142.0,286.82,199.42,296.79,10.948,1129.8
54.171,501.87,273.21,536.26,325.83,338.16,145.26,658.0,284.66,272.47,305.97,240.99,141.99,286.8,199.41,296.77,10.947,1129.7
54.18,501.95,273.26,536.35,325.89,338.22,145.29,658.11,284.71,272.52,306.02,241.03,142.01,286.85,199.44,296.82,10.949,1129.9
54.169,501.85,273.2,536.23,325.82,338.15,145.26,657.98,284.65,272.46,305.96,240.98,141.98,286.79,199.4,296.75,10.946,1129.6
54.148,501.66,273.1,536.03,325.69,338.02,145.2,657.73,284.54,272.36,305.84,240.89,141.93,286.68,199.32,296.64,10.942,1129.2
54.158,501.75,273.15,536.13,325.75,338.08,145.23,657.85,284.59,272.41,305.9,240.94,141.95,286.73,199.36,296.69,10.944,1129.4
54.156,501.73,273.14,536.11,325.74,338.07,145.22,657.82,284.58,272.4,305.89,240.93,141.95,286.72,199.35,296.68,10.944,1129.4
54.147,501.65,273.09,536.02,325.69,338.01,145.2,657.71,284.53,272.35,305.84,240.89,141.93,286.67,199.32,296.63,10.942,1129.2
54.154,501.71,273.13,536.09,325.73,338.06,145.22,657.8,284.57,272.39,305.88,240.92,141.94,286.71,199.35,296.67,10.943,1129.3
54.166,501.82,273.19,536.2,325.8,338.13,145.25,657.94,284.63,272.45,305.94,240.97,141.97,286.77,199.39,296.74,10.946,1129.6
54.189,502.04,273.31,536.44,325.94,338.28,145.31,658.23,284.75,272.57,306.08,241.07,142.04,286.9,199.48,296.87,10.95,1130.1
54.207,502.2,273.39,536.61,326.04,338.39,145.36,658.44,284.85,272.65,306.17,241.15,142.08,286.99,199.54,296.96,10.954,1130.4
54.202,502.16,273.37,536.56,326.02,338.36,145.35,658.38,284.82,272.63,306.15,241.13,142.07,286.96,199.52,296.94,10.953,1130.3
